tileset_id,status,tiles,lower_base_tile_id,lower_description,upper_base_tile_id,upper_description,transition_size,style,created_at
9a185986-b346-42e3-a510-d854c50da8bc,error_423,,,white snow and ice with subtle blue shadows,,lush green grass meadow with individual blades,,,2026-06-05T15:31:42.698684+00:00
3abc00f4-250a-4526-89fb-a89742503ba9,error_423,,,white snow and ice with subtle blue shadows,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T15:31:39.457706+00:00
f813b8ac-7c99-4db2-aac4-508081124592,error_423,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T15:31:35.637313+00:00
f487e3d0-422e-4f57-bfaf-7ebb29e9ad81,error_423,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T15:31:33.426086+00:00
ba27b3f6-6bd5-4b0c-bb65-82fb6a874d28,error_423,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T15:31:29.364394+00:00
a87616e2-9771-4a60-9a19-dc025892f15c,error_423,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T15:31:27.356468+00:00
7594d792-a3bd-4bcc-aa11-9e6ed17dfd39,processing,,,white snow and ice with subtle blue shadows,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T15:27:25.594805+00:00
3102f8e7-11fd-4795-8072-075b8949c062,processing,,,white snow and ice with subtle blue shadows,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T15:27:23.390648+00:00
fdfc998f-64c9-43a5-9af2-a82c4df4f11f,processing,,,white snow and ice with subtle blue shadows,,lush green grass meadow with individual blades,,,2026-06-05T15:27:20.204501+00:00
d8d6d7bb-2fe7-484b-872d-ee2f67d04cf6,error_423,,,white snow and ice with subtle blue shadows,,lush green grass meadow with individual blades,,,2026-06-05T15:27:17.654662+00:00
e23e75f2-a9ae-4eb1-9e6f-3e4d98f64121,processing,,,white snow and ice with subtle blue shadows,,lush green grass meadow with individual blades,,,2026-06-05T15:27:15.814178+00:00
85069449-80b0-4c40-bf20-8cfd1cca6819,error_423,,,white snow and ice with subtle blue shadows,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T15:27:11.967902+00:00
aec3a658-f044-4a78-b435-fa20b74996cc,processing,,,white snow and ice with subtle blue shadows,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T15:27:10.731065+00:00
256ab683-253f-4b83-872d-ffdc3e505386,error_423,,,white snow and ice with subtle blue shadows,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T15:27:07.597034+00:00
256ab683-253f-4b83-872d-ffdc3e505386,error_423,,,white snow and ice with subtle blue shadows,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T15:27:07.597034+00:00
31e739e4-a0b7-4c31-93a5-bd7debec1767,processing,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T15:27:04.029938+00:00
47adba0b-706c-44e3-8d51-bef8f7cf5817,processing,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T15:27:01.547269+00:00
dc619a05-79b4-4553-a63d-077a947ff99a,error_423,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T15:26:58.861632+00:00
f09b9800-5c8e-48c7-97d7-82c240360003,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T15:26:55.914172+00:00
b308c584-992b-4e55-a76c-05d44ab2cf9e,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T15:26:53.005448+00:00
bb7b8dd7-b6d3-4f41-9168-bdc328bc9ab2,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T15:26:50.940241+00:00
7b4b18c6-4072-407f-b373-755082a4f5b2,error_423,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T15:26:46.482201+00:00
ca951af6-7c26-420a-a591-15eb16e3b009,error_423,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T15:26:44.103036+00:00
a3cd36fe-dd46-4ad8-bdc9-b2d789eb9c33,error_423,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T15:26:41.701242+00:00
8fcb92cb-f979-48d6-b955-42a22a4695ec,processing,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T15:26:38.510841+00:00
71522226-d8f0-4013-b5cc-2ec9228e7975,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T15:26:36.017525+00:00
26398711-d3fc-45a8-81cc-cb3704920a45,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T15:26:34.031428+00:00
4bae8531-f565-401a-8b96-c46298749a13,error_423,,,"dark fertile forest loam soil, organic earth texture, damp woodland ground",,"rich forest loam soil with subtle clumps and granules, moist earthy surface",,,2026-06-05T15:02:18.105552+00:00
44b9de6f-5ff4-4a00-8a96-5f899d8fd4b2,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,frozen grey-brown permafrost with sparse lichen and frost,,,2026-06-05T03:31:57.966915+00:00
32e48411-4b88-47a3-b792-c2d889d03b42,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,,2026-06-05T03:31:54.673609+00:00
d9149b20-f4c6-4125-8e16-247bad4da075,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,"cold taiga floor with pine needles, frost, and sparse lichen",,,2026-06-05T03:31:50.510719+00:00
d4e9708a-d847-4a59-a7cd-2c82ae21e9c9,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,wet brown swamp mud with murky water patches and peat,,,2026-06-05T03:31:46.808973+00:00
b733b385-d4f9-4e61-ad64-375bc58ef1c5,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,short windswept dry brown-green grass with hard packed earth,,,2026-06-05T03:31:43.146579+00:00
2a9f4f44-6e73-4332-a142-22a157969573,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,light turquoise water with visible sandy bottom,,,2026-06-05T03:31:40.043877+00:00
68fbc7a1-c64b-4d0f-829b-4d77f3c0bf31,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,dry golden savanna grass with scattered patches of red earth,,,2026-06-05T03:31:36.236320+00:00
a9251bab-3021-4e85-bc54-a9f9ce7ef222,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,flowing blue water with gentle current lines,,,2026-06-05T03:31:32.446216+00:00
31587e60-ded3-436c-b76d-34bed35acf08,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,deep blue ocean water with gentle wave ripples,,,2026-06-05T03:30:05.349835+00:00
47bc289d-4cc5-4f1c-a808-493d69554a5b,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,glowing purple-pink enchanted ground with crystal fragments,,,2026-06-05T03:30:01.711415+00:00
9e9cd9ae-b697-4f5d-9089-336f8e7933c0,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,grey mountain rock with snow patches and exposed stone,,,2026-06-05T03:29:57.758090+00:00
d78b9d23-5b3a-4180-bc4d-ce0c3f1229c7,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,calm still blue-green water with subtle reflections,,,2026-06-05T03:29:55.160571+00:00
4f5e6abb-c31c-473e-a566-c4adfcb36c33,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T03:29:54.739509+00:00
2f56e723-7e24-4024-96cf-a64fb9b21df4,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,lush green grass meadow with individual blades,,,2026-06-05T03:29:54.176920+00:00
f4296003-ea19-47e1-9b16-b94bbaf843df,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T03:29:43.726104+00:00
ddd06f34-5441-433f-8c78-1e2901da3fbe,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,arid desert sand with subtle wind ripples,,,2026-06-05T03:28:22.465995+00:00
d3186555-5e42-41e6-b513-9a191fc61cc3,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T03:28:19.045362+00:00
1924cb4a-3cc9-4bbc-b3bc-16cc334432c7,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T03:28:15.202761+00:00
c2a85bbb-fc5d-463d-a428-6a36d1fe09d4,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,golden sandy beach with fine grain texture,,,2026-06-05T03:28:11.819691+00:00
3e967237-f61d-4fc8-b575-5a1bb52e81d1,error_423,,,dark charred volcanic rock with glowing orange lava cracks,,white snow and ice with subtle blue shadows,,,2026-06-05T03:28:07.882715+00:00
3f4e038b-2fb9-4d84-9f76-496e847c9eeb,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,dark charred volcanic rock with glowing orange lava cracks,,,2026-06-05T03:28:03.512252+00:00
dc57dde2-93e2-49c1-a654-a7d3878cbae3,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,,2026-06-05T03:27:59.524759+00:00
a700ba9d-9096-4a17-a0fc-4cb3663a9f32,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,"cold taiga floor with pine needles, frost, and sparse lichen",,,2026-06-05T03:27:55.441887+00:00
a2c15074-92ec-4f78-b4f9-84a043ef38b4,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,wet brown swamp mud with murky water patches and peat,,,2026-06-05T03:27:51.736961+00:00
654324bd-3f8d-4df3-8e63-537284618017,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,short windswept dry brown-green grass with hard packed earth,,,2026-06-05T03:27:48.206484+00:00
f1c04154-ffaa-4863-9cb9-6665dfe35eb3,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,light turquoise water with visible sandy bottom,,,2026-06-05T03:27:44.569222+00:00
457e7b11-5bf0-40fb-aba0-e4655ae6acf8,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,dry golden savanna grass with scattered patches of red earth,,,2026-06-05T03:27:41.132014+00:00
ce9ba178-7c09-4874-93be-e28befd0a8b1,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,flowing blue water with gentle current lines,,,2026-06-05T03:27:37.395419+00:00
6851a18d-da63-41cb-a883-65e49eba6e9d,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,deep blue ocean water with gentle wave ripples,,,2026-06-05T03:25:59.510413+00:00
67e7ea2f-3a3f-4bfe-b2af-e42e4ee74d2d,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,glowing purple-pink enchanted ground with crystal fragments,,,2026-06-05T03:25:56.201531+00:00
7eb712d4-39a1-4dff-9387-062a77da9b92,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,grey mountain rock with snow patches and exposed stone,,,2026-06-05T03:25:52.462576+00:00
b3840cd2-d38e-4592-a1ac-3e7afce62bad,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,calm still blue-green water with subtle reflections,,,2026-06-05T03:25:48.280393+00:00
6e00952b-9c05-4068-b284-3772e0a03f71,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T03:25:44.931909+00:00
cf77310a-5487-482d-9acd-60a8b800d488,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,lush green grass meadow with individual blades,,,2026-06-05T03:25:41.231687+00:00
f240cf7b-f805-4228-a997-0d6f8cddeb52,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T03:25:37.879352+00:00
f3c5cc1c-d425-4254-9e2f-e9d2a46b8ec6,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,arid desert sand with subtle wind ripples,,,2026-06-05T03:24:24.675068+00:00
f3c5cc1c-d425-4254-9e2f-e9d2a46b8ec6,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,arid desert sand with subtle wind ripples,,,2026-06-05T03:24:24.675068+00:00
8881c811-691e-4856-8d01-bbb0b94f6941,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T03:24:21.487719+00:00
29e354fe-f106-40ce-9e91-f7097a260deb,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T03:24:17.512176+00:00
82965226-cc08-4713-a77e-067a46b9d337,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,golden sandy beach with fine grain texture,,,2026-06-05T03:24:13.777112+00:00
edf1c29a-8475-4461-aca8-63a5a1299bd3,error_423,,,frozen grey-brown permafrost with sparse lichen and frost,,white snow and ice with subtle blue shadows,,,2026-06-05T03:24:10.053289+00:00
02527fb2-2cea-477e-ac80-8cf94052a380,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,dark charred volcanic rock with glowing orange lava cracks,,,2026-06-05T03:24:05.740223+00:00
96a5f99f-88fb-40ab-9d94-6a766f895249,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,frozen grey-brown permafrost with sparse lichen and frost,,,2026-06-05T03:24:01.999969+00:00
0fb54a89-893b-4960-8f60-26f38fcfe98c,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,"cold taiga floor with pine needles, frost, and sparse lichen",,,2026-06-05T03:23:58.746612+00:00
0ee580ad-3285-4445-b985-229c0dfe5715,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,wet brown swamp mud with murky water patches and peat,,,2026-06-05T03:23:54.501725+00:00
d0f59b1f-e1b7-4f9f-b866-07f53eb73684,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,short windswept dry brown-green grass with hard packed earth,,,2026-06-05T03:23:51.118920+00:00
4ab3b3c5-d6ae-4d3d-8e4f-f55e024f4995,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,light turquoise water with visible sandy bottom,,,2026-06-05T03:23:47.576774+00:00
dc48119d-fa8e-4f25-ae9b-77e02e541aa8,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,dry golden savanna grass with scattered patches of red earth,,,2026-06-05T03:23:43.336433+00:00
6089ea78-d8ed-4ac7-bd33-0b618bb8fac4,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,flowing blue water with gentle current lines,,,2026-06-05T03:23:40.281956+00:00
700e4002-7c9b-4a11-8db0-668f8e1c0398,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,deep blue ocean water with gentle wave ripples,,,2026-06-05T03:21:28.526893+00:00
92805659-0a03-4326-b168-e1b91321f67b,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,glowing purple-pink enchanted ground with crystal fragments,,,2026-06-05T03:21:25.235767+00:00
2723dc5a-3db6-4cd8-a346-64f5e7e95fc6,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,grey mountain rock with snow patches and exposed stone,,,2026-06-05T03:21:21.475333+00:00
2a57e5a0-3c36-475c-9c9d-65fe210a01e1,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,calm still blue-green water with subtle reflections,,,2026-06-05T03:21:17.118323+00:00
c03fd139-065a-4013-a6cd-12be9662aeea,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T03:21:14.468948+00:00
ec9ee194-59fa-4221-9267-6b8d98a7358b,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,lush green grass meadow with individual blades,,,2026-06-05T03:14:47.518594+00:00
2d1b8537-7a51-40e8-90de-3e26d6b36080,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T03:14:01.178708+00:00
1208123b-1cb5-40e8-88bc-88be3b81f430,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,arid desert sand with subtle wind ripples,,,2026-06-05T03:13:57.944866+00:00
2c2e3ba9-2f25-4776-9278-1e205f47ee52,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T03:13:54.306437+00:00
6f6bb8ad-c166-424f-8f04-f631a44732d3,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T03:13:50.684865+00:00
2b5053e4-8c59-4208-b826-e2c15aa6861a,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,golden sandy beach with fine grain texture,,,2026-06-05T03:13:47.101861+00:00
880cc284-8aa9-4844-b545-725eeecd1f43,error_423,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,white snow and ice with subtle blue shadows,,,2026-06-05T03:13:43.547523+00:00
3faf46be-c696-4d70-9561-fda29d0151b2,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,dark charred volcanic rock with glowing orange lava cracks,,,2026-06-05T03:13:37.970658+00:00
bb01517b-4766-4a16-8367-4637de2f2b4f,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,frozen grey-brown permafrost with sparse lichen and frost,,,2026-06-05T03:13:33.995854+00:00
778d62f1-fccf-41ea-ade3-5f42b2801415,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,,2026-06-05T03:13:30.710627+00:00
20dfebc0-b6b9-484e-9bd7-b3545a170718,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,wet brown swamp mud with murky water patches and peat,,,2026-06-05T03:13:27.219218+00:00
85597d1d-4b4a-4a16-89c1-c07f3171cc3e,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,short windswept dry brown-green grass with hard packed earth,,,2026-06-05T03:11:58.749231+00:00
42bf25ff-1e51-4d01-8950-b941b788c664,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,light turquoise water with visible sandy bottom,,,2026-06-05T03:11:55.112438+00:00
b43169c3-bbdd-4d5c-89c9-baf3394d81c0,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,dry golden savanna grass with scattered patches of red earth,,,2026-06-05T03:11:51.701942+00:00
41e89d1e-72e1-4add-90df-a933b2b724e9,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,flowing blue water with gentle current lines,,,2026-06-05T03:11:48.419697+00:00
821a82bb-8944-4444-88d5-dd962572e619,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,deep blue ocean water with gentle wave ripples,,,2026-06-05T03:11:44.332969+00:00
b26f5bee-5d35-41f6-9361-9b1ddfaaf631,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,glowing purple-pink enchanted ground with crystal fragments,,,2026-06-05T03:11:40.419418+00:00
51b4db0e-5886-40e1-8ef6-72a2ed4c8c69,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,grey mountain rock with snow patches and exposed stone,,,2026-06-05T03:11:36.694657+00:00
888da92c-d220-4190-898c-06a9097eef2c,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,calm still blue-green water with subtle reflections,,,2026-06-05T03:11:33.114804+00:00
fad309e4-62b6-469f-9f26-fc2b3fb7f15d,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T03:11:29.543916+00:00
146f44d6-cbdb-4e7c-9d83-a067202f666b,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,lush green grass meadow with individual blades,,,2026-06-05T03:10:07.064627+00:00
b0cc419c-645a-4fb9-a6da-9cd4b42f5d39,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T03:10:04.181230+00:00
d4fae4b6-8b9d-4877-8a61-d7b6e2835429,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,arid desert sand with subtle wind ripples,,,2026-06-05T03:09:59.853154+00:00
1e674588-972c-489a-9ecd-5768f8c596bf,error_423,,,"cold taiga floor with pine needles, frost, and sparse lichen",,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T03:09:56.025642+00:00
